Year,Rank,Institution,Code,Country,academic_reputation,employer_reputation,faculty_student,citations_per_faculty,international_faculty,international_students,Overall
1/1/2022,1,Massachusetts Institute of Technology (MIT) ,US,United States,100,100,100,100,100,91.4,100
1/1/2022,2,University of Oxford,UK,United Kingdom,100,100,100,96,99.5,98.5,99.5
1/1/2022,3,Stanford University,US,United States,100,100,100,99.9,99.8,67,98.7
1/1/2022,3,University of Cambridge,UK,United Kingdom,100,100,100,92.1,100,97.7,98.7
1/1/2022,5,Harvard University,US,United States,100,100,99.1,100,84.2,70.1,98
1/1/2022,6,California Institute of Technology (Caltech),US,United States,96.7,89.9,100,100,99.4,87.7,97.4
1/1/2022,7,Imperial College London,UK,United Kingdom,98.4,99.8,99.8,88.1,100,100,97.3
1/1/2022,8,ETH Zurich - Swiss Federal Institute of Technology,CH,Switzerland,98.7,95.3,80.4,99.8,100,98.2,95.4
1/1/2022,8,UCL,UK,United Kingdom,99.4,98.9,99,78,99.5,100,95.4
1/1/2022,10,University of Chicago,US,United States,99.2,93.5,95.5,90.6,71.9,84.9,94.5
1/1/2022,11,National University of Singapore (NUS),SG,Singapore,99.6,97.1,86.8,90.6,100,70.3,93.9
1/1/2022,12,"Nanyang Technological University, Singapore (NTU)",SG,Singapore,91.1,85,89.5,95.5,100,69.6,90.8
1/1/2022,13,University of Pennsylvania,US,United States,96.2,93.8,100,74,94.1,58.1,90.7
1/1/2022,14,EPFL,CH,Switzerland,82.4,79.7,94.8,99.8,100,100,90.2
1/1/2022,14,Yale University,US,United States,99.9,100,100,59.9,87.9,69.8,90.2
1/1/2022,16,The University of Edinburgh,UK,United Kingdom,98,97.3,83.5,69.5,99.3,99.6,89.9
1/1/2022,17,Tsinghua University,CN,China (Mainland),98.6,97.6,90.6,96,15.3,26.3,89
1/1/2022,18,Peking University,CN,China (Mainland),99.4,98.2,83.5,89.5,45.6,38.5,88.8
1/1/2022,19,Columbia University,US,United States,99.6,98.4,100,55.6,52.7,98.4,88.7
1/1/2022,20,Princeton University,US,United States,99.9,99.2,68.7,100,28.1,63.2,88.6
1/1/2022,21,Cornell University,US,United States,98.4,93.9,61.3,98.9,75.6,66.1,88.3
1/1/2022,22,The University of Hong Kong,HK,Hong Kong SAR,97.9,73.1,85.4,62.1,100,98.9,86.3
1/1/2022,23,The University of Tokyo,JP,Japan,100,99.6,92.4,79,3.3,28.5,86.2
1/1/2022,23,University of Michigan-Ann Arbor,US,United States,98.6,93,90.2,70.5,63.4,34.9,86.2
1/1/2022,25,Johns Hopkins University,US,United States,87.6,51.6,100,89.9,55.1,91.7,85.9
1/1/2022,26,University of Toronto,CA,Canada,99.5,98.2,69.4,58.8,98.6,94.9,85.3
1/1/2022,27,McGill University,CA,Canada,92.5,94.4,73.3,65.5,92.2,96.6,84
1/1/2022,27,The Australian National University,AU,Australia,94.6,79.3,44.4,95.4,100,98.8,84
